Cell line	Disease	Disease subtype	Cellosaurus ID	Patient	Primary/Metastasis	Sample collection site
OCI-Ly7	Lymphoma	Diffuse Large B-cell Lymphoma (DLBCL)	CVCL_1881	48	Primary	haematopoietic_and_lymphoid_tissue
OCI-M1	Leukemia	Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)	CVCL_2149	62		haematopoietic and lymphoid tissue
OCI-M2	Leukemia	Acute Myelogenous Leukemia (AML)	CVCL_2150	56	Primary	haematopoietic_and_lymphoid_tissue
OCI-My5	Myeloma	Multiple Myeloma	CVCL_E332	Male		haematopoietic and lymphoid tissue
OCI-My7	Myeloma	Multiple Myeloma	CVCL_E333	Male		haematopoietic and lymphoid tissue
OCUM-1	Gastric cancer	Adenocarcinoma	CVCL_3084	Female, 38	metastasis	stomach
OE19	Esophageal cancer		CVCL_1622	Male, 72	primary	oesophagus
OE21	Esophageal cancer	Squamous Cell Carcinoma	CVCL_2661	Male, 74	primary	oesophagus
OE33	Esophageal cancer	Adenocarcinoma	CVCL_0471	Female, 73	primary	oesophagus
OELE	Non-cancerous		CVCL_IW56	Female		ovary
Okajima	Gastric cancer		CVCL_9815		Metastasis	pleural_effusion
ONCO-DG-1	Ovarian cancer	Adenocarcinoma, high grade serous	CVCL_1882	Female, 60	metastasis	ascites
ONS-76	Brain cancer	Medulloblastoma	CVCL_1624	Female, 2	primary	central nervous system
OPM-1	Myeloma	Multiple Myeloma	CVCL_5210	Female, 56		haematopoietic and lymphoid tissue
OPM-2	Myeloma	Multiple Myeloma	CVCL_1625	Female, 56	primary	haematopoietic and lymphoid tissue
OS-RC-2	Kidney cancer	Renal Cell Carcinoma	CVCL_1626	Male, 52	primary	kidney
OUMS-23	Colorectal cancer	Adenocarcinoma	CVCL_3088	Male, 37	metastasis	pericardial effusion
OV-90	Ovarian cancer	Adenocarcinoma, high grade serous	CVCL_3768	Female, 64	metastasis	ascites
OV56	Ovarian cancer	Adenocarcinoma, serous	CVCL_2673	Female, 46	metastasis	ascites
OV7	Ovarian cancer	Adenocarcinoma, mixed	CVCL_2675	Female, 78	primary	ovary
OVCA420	Ovarian cancer	Adenocarcinoma, serous	CVCL_3935			ovary
OVCA432	Ovarian cancer	Adenocarcinoma, serous	CVCL_3769		Primary	ovary
OVCA433	Ovarian cancer	Adenocarcinoma, serous	CVCL_0475			ovary
OVCAR-3	Ovarian cancer	Adenocarcinoma, high grade serous	CVCL_0465	Female, 60	metastasis	ascites
OVCAR-4	Ovarian cancer	Adenocarcinoma, high grade serous	CVCL_1627	Female, 42	metastasis	ascites
OVCAR-5	Ovarian cancer	Adenocarcinoma, high grade serous	CVCL_1628	67	Metastasis	ascites
OVCAR-8	Ovarian cancer	Adenocarcinoma, high grade serous	CVCL_1629	Female, 64	primary	ovary
OVISE	Ovarian cancer	Adenocarcinoma, clear cell	CVCL_3116	Female, 40	metastasis	bone
OVK18	Ovarian cancer	Adenocarcinoma, endometrioid	CVCL_3770	Female, 49	metastasis	ascites
OVKATE	Ovarian cancer	Adenocarcinoma, high grade serous	CVCL_3110	Female, 40	primary	ovary
OVMANA	Ovarian cancer	Adenocarcinoma, clear cell	CVCL_3111	Female, 51	primary	ovary
OVSAHO	Ovarian cancer	Adenocarcinoma, high grade serous	CVCL_3114	Female, 56	metastasis	abdomen
OVTOKO	Ovarian cancer	Adenocarcinoma, clear cell	CVCL_3117	Female, 78	metastasis	spleen
P12-Ichikawa	Leukemia	Acute Lymphoblastic Leukemia (ALL), T-cell	CVCL_1630	Male, 7		haematopoietic and lymphoid tissue
P31/FUJ	Leukemia	Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)	CVCL_1632	Male, 7		haematopoietic and lymphoid tissue
P3HR-1	Lymphoma	B-cell, Non-Hodgkins, Burkitts	CVCL_2676	Male, 7		ascites
PA-1	Ovarian cancer		CVCL_0479	12	Metastasis	ascites
Panc 02.03	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	CVCL_1633	Female, 70	primary	pancreas
Panc 02.13	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	CVCL_1634	Female, 64	primary	pancreas
Panc 03.27	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	CVCL_1635	Female, 65	primary	pancreas
Panc 04.03	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	CVCL_1636	Male, 70	primary	pancreas
Panc 05.04	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	CVCL_1637	Female, 77	primary	pancreas
Panc 08.13	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	CVCL_1638	Male, 85	primary	pancreas
Panc 10.05	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	CVCL_1639	Male, 81	primary	pancreas
PANC-1	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	CVCL_0480	Male, 56	primary	pancreas
PaTu 8902	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	CVCL_1845	Female, 44	primary	pancreas
PaTu 8988s	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	CVCL_1846	Female, 64	metastasis	liver
PaTu 8988t	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	CVCL_1847	Female, 64	metastasis	liver
PC-14	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1640	Male, 45	primary	lung
PC-3	Prostate cancer		CVCL_0035	Male, 62	metastasis	bone
PC-9	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_B260	Male, 45		lung
PE/CA-PJ15	Head and Neck cancer	Squamous Cell Carcinoma, oral	CVCL_2678	Male, 45	primary	upper aerodigestive tract
PE/CA-PJ34 (clone C12)	Head and Neck cancer	Squamous Cell Carcinoma, basaloid	CVCL_2679	Male, 60	primary	upper aerodigestive tract
PE/CA-PJ41 (clone D2)	Head and Neck cancer	Squamous Cell Carcinoma, oral	CVCL_2680	Female, 67	primary	upper aerodigestive tract
PE/CA-PJ49	Head and Neck cancer	Squamous Cell Carcinoma, oral	CVCL_2681	Male, 57	primary	upper aerodigestive tract
Peer	Leukemia	Acute Lymphoblastic Leukemia (ALL), T-cell	CVCL_1913	Female, 4		haematopoietic and lymphoid tissue
PEO1	Ovarian cancer	Cystadenocarcinoma	CVCL_2686		Metastasis	ascites
PF-382	Leukemia	Acute Lymphoblastic Leukemia (ALL), T-cell	CVCL_1641	Female, 6		pleural effusion
Pfeiffer	Lymphoma	Diffuse Large B-cell Lymphoma (DLBCL)	CVCL_3326	Male	metastasis	pleural effusion
PK-1	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	CVCL_4717	Male	metastasis	liver
PK-45H	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	CVCL_6748	Female	primary	pancreas
PK-45P	Pancreatic cancer		CVCL_6749			
PK-59	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	CVCL_4897	Female, 66	metastasis	liver
PK-8	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	CVCL_4718		Metastasis	liver
PL-21	Leukemia	Acute Myelogenous Leukemia (AML), M3 (Promyelocytic)	CVCL_2161	Male, 24		haematopoietic and lymphoid tissue
PL45	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	CVCL_3567	81		pancreas
PLB-985	Leukemia	Acute Myelogenous Leukemia (AML), M3 (Promyelocytic)	CVCL_2162	Female, 35	primary	haematopoietic and lymphoid tissue
PLC/PRF/5	Liver cancer	Hepatocellular Carcinoma	CVCL_0485	Male, 24	primary	liver
PODO/SVTERT152	Non-cancerous			Male, 41		
PODO/TERT256	Non-cancerous			Female		
PrEC LH	Non-cancerous		CVCL_V626	Male		prostate
PSN1	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	CVCL_1644	Male, 36	primary	pancreas
QGP-1	Pancreatic cancer	Somatostatinoma	CVCL_3143	Male, 61	primary	pancreas
Raji	Lymphoma	B-cell, Non-Hodgkins, Burkitts	CVCL_0511	Male, 11		bone
Ramos	Lymphoma	B-cell, Non-Hodgkins, Burkitts	CVCL_0597	3	Primary	ascites
RC-K8	Lymphoma	B-cell	CVCL_1883	55	Primary	ascites
RCC10RGB	Kidney cancer	Renal Cell Carcinoma	CVCL_1647	Male	primary	kidney
RCH-ACV	Leukemia	Acute Lymphoblastic Leukemia (ALL), B-cell	CVCL_1851	Female, 8		bone marrow
RCM-1 [Human rectal adenocarcinoma]	Colorectal cancer	Adenocarcinoma	CVCL_1648	Female, 73	primary	large intestine
RD	Sarcoma	Rhabdomyosarcoma, embryonal	CVCL_1649	Female, 7	primary	soft tissue
RD-ES	Bone cancer	Ewings Sarcoma	CVCL_2169	Male, 19	primary	bone
REC-1	Lymphoma	B-cell, Non-Hodgkins, Mantle Cell	CVCL_1884	Male, 61		lymph node
REH	Leukemia		CVCL_1650	Female, 15	primary	haematopoietic and lymphoid tissue
RERF-GC-1B	Gastric cancer	Adenocarcinoma	CVCL_3152	Male, 41	metastasis	lymph node
RERF-LC-A1	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	CVCL_4402	Male	metastasis	pleural effusion
RERF-LC-Ad1	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1651	Male, 70	primary	lung
RERF-LC-Ad2	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1652	Male	primary	lung
RERF-LC-KJ	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1654	Male, 78	primary	lung
RERF-LC-MS	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1655	Male	primary	lung
RERF-LC-OK	Lung cancer		CVCL_3154			
RERF-LC-Sq1	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	CVCL_1656	Female, 74	primary	lung
Rh18	Sarcoma	Rhabdomyosarcoma	CVCL_1659	Female, 2		soft tissue
Rh30	Sarcoma		CVCL_0041	Male, 17	metastasis	bone marrow
Rh41	Sarcoma	Rhabdomyosarcoma, alveolar	CVCL_2176	Female, 7	metastasis	liver
Ri-1	Lymphoma	B-cell, Non-Hodgkins	CVCL_1885	Female, 57		haematopoietic and lymphoid tissue
RKN	Sarcoma	Leiomyosarcoma	CVCL_3156	Female, 45	primary	ovary
RKO	Colorectal cancer	Adenocarcinoma	CVCL_0504		primary	colon
RL	Lymphoma	B-cell, Non-Hodgkins	CVCL_1660	Male, 52		ascites
RL95-2	Uterine cancer	Endometrial Adenosquamous Carcinoma	CVCL_0505	Female, 65	primary	endometrium
RMG-I	Ovarian cancer	Adenocarcinoma, clear cell	CVCL_1662	Female, 34	metastasis	ascites
RMUG-S	Ovarian cancer	Cystadenocarcinoma, mucinous	CVCL_3158	Female, 62	primary	ovary
RPMI-2650	Head and Neck cancer	Squamous Cell Carcinoma	CVCL_1664	52	Metastasis	pleural_effusion
RPMI-7951	Skin cancer	Melanoma	CVCL_1666	Female, 18	metastasis	lymph node
RPMI-8226	Myeloma		CVCL_0014	Male, 61	primary	haematopoietic and lymphoid tissue
RPMI-8402	Leukemia	Acute Lymphoblastic Leukemia (ALL), T-cell	CVCL_1667	Female, 16		haematopoietic and lymphoid tissue
RPTEC/TERT1	Non-cancerous		CVCL_K278	Male		
RS-5	Non-cancerous	Lung	CVCL_2182	Male, 78		fibroblast
RS4;11	Leukemia	Acute Lymphoblastic Leukemia (ALL), B-cell	CVCL_0093	Female, 32	primary	bone marrow
RT-112	Bladder cancer	Transitional Cell Carcinoma	CVCL_1670	Female	primary	urinary tract
RT-4	Bladder cancer		CVCL_0036	Male, 63	primary	urinary tract
RVH-421	Skin cancer	Melanoma	CVCL_1672	Male, 28	metastasis	central nervous system
S-117	Sarcoma	Thyroid Sarcoma	CVCL_1674	Female, 47		soft tissue
SALE	Non-cancerous		CVCL_WS60	Male		lung
SaOS-2	Bone cancer	Osteosarcoma	CVCL_0548	Female, 11	primary	bone
SBC-5	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1679	Male, 65	metastasis	pleural effusion
Sc-1	Lymphoma	B-cell, Non-Hodgkins, Follicular	CVCL_1888	67		ascites
SCaBER	Bladder cancer	Squamous Cell Carcinoma	CVCL_3599	Male, 58	primary	urinary tract
SCC-15	Head and Neck cancer	Squamous Cell Carcinoma	CVCL_1681	Male, 55		upper aerodigestive tract
SCC-25	Head and Neck cancer	Squamous Cell Carcinoma	CVCL_1682	Male, 70	primary	upper aerodigestive tract
SCC-3	Lymphoma	B-cell, Non-Hodgkins	CVCL_1683	20	Primary	pleural_effusion
SCC-4	Head and Neck cancer	Squamous Cell Carcinoma, oral	CVCL_1684	Male, 55	primary	upper aerodigestive tract
SCC-9	Head and Neck cancer	Squamous Cell Carcinoma	CVCL_1685	Male, 25	primary	upper aerodigestive tract
SCLC-21H	Lung cancer		CVCL_0024	Male, 46	metastasis	pleural effusion
SCLC-22H	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_2186	46	Metastasis	pleural_effusion
SEM	Leukemia	Acute Lymphoblastic Leukemia (ALL), B-cell	CVCL_0095	Female, 5	primary	haematopoietic and lymphoid tissue
SET-2	Leukemia	Acute Myelogenous Leukemia (AML)	CVCL_2187	Female, 71		haematopoietic and lymphoid tissue
SF126	Brain cancer	Astrocytoma	CVCL_1688	Female, 50	primary	central nervous system
SF172	Brain cancer	Glioblastoma	CVCL_V613	Female, 36		central nervous system
SF268	Brain cancer	Glioma	CVCL_1689	Male, 24	primary	central nervous system
SF295	Brain cancer	Glioblastoma	CVCL_1690	Female, 67	primary	central nervous system
SF539	Brain cancer	Glioma	CVCL_1691	Female, 34	primary	central nervous system
SF767	Cervical cancer	Squamous Cell Carcinoma	CVCL_6950	Female, 66	metastasis	abdomen
SH-10-TC	Gastric cancer	Adenocarcinoma, mucinous	CVCL_5167	Female	primary	stomach
SH-4	Skin cancer	Melanoma	CVCL_1692	Female, 60	metastasis	pleural effusion
SH-SY5Y	Neuroblastoma		CVCL_0019	Female, 4	metastasis	bone marrow
SHP-77	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1693	Male, 54	primary	lung
SIG-M5	Leukemia	Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)	CVCL_1694	Male, 63		bone marrow
SiHa	Cervical cancer		CVCL_0032	Female, 55		cervix
SiMa	Neuroblastoma		CVCL_1695	Male, 1		autonomic ganglia
SJSA-1	Bone cancer	Osteosarcoma	CVCL_1697	Male, 19	primary	bone
SK-BR-3	Breast cancer		CVCL_0033	Female, 43	metastasis	pleural effusion
SK-CO-1	Colorectal cancer	Adenocarcinoma	CVCL_0626	Male, 65	metastasis	ascites
SK-ES-1	Bone cancer	Ewings Sarcoma	CVCL_0627	Male, 18	primary	bone
SK-HEP-1	Liver cancer	Hepatocellular Carcinoma	CVCL_0525	Male, 52	metastasis	ascites
SK-LMS-1	Sarcoma	Leiomyosarcoma	CVCL_0628	Female, 43	primary	soft tissue
SK-LU-1	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_0629	Female, 60	primary	lung
SK-MEL-1	Skin cancer	Melanoma	CVCL_0068	Male, 29	metastasis	haematopoietic and lymphoid tissue
SK-MEL-2	Skin cancer	Melanoma	CVCL_0069	60	Metastasis	skin
SK-MEL-23	Skin cancer		CVCL_6027			
SK-MEL-24	Skin cancer	Melanoma	CVCL_0599	Male, 67	metastasis	lymph node
SK-MEL-28	Skin cancer	Melanoma	CVCL_0526	Male, 51		skin
SK-MEL-3	Skin cancer	Melanoma	CVCL_0550	Female, 42	metastasis	lymph node
SK-MEL-30	Skin cancer		CVCL_0039	Male, 67	metastasis	skin
SK-MEL-31	Skin cancer	Melanoma	CVCL_0600	Female, 33	primary	skin
SK-MEL-5	Skin cancer	Melanoma	CVCL_0527	Female, 24	metastasis	lymph node
SK-MES-1	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	CVCL_0630	Male, 65	metastasis	pleural effusion
SK-MM-2	Myeloma	Multiple Myeloma	CVCL_1699	Male, 54	primary	haematopoietic and lymphoid tissue
SK-N-AS	Neuroblastoma		CVCL_1700	Female, 6	metastasis	bone marrow
SK-N-BE(2)	Neuroblastoma		CVCL_0528	Male, 2	metastasis	bone marrow
SK-N-DZ	Neuroblastoma		CVCL_1701	Female, 2	metastasis	bone marrow
SK-N-FI	Neuroblastoma		CVCL_1702	Male, 11	metastasis	bone marrow
SK-N-MC	Bone cancer	Ewings Sarcoma	CVCL_0530	Female, 14	metastasis	bone
SK-N-SH	Neuroblastoma		CVCL_0531	Female, 4	metastasis	bone marrow
SK-NEP-1	Bone cancer	Ewings Sarcoma	CVCL_0631	Female, 25	metastasis	pleural effusion
SK-OV-3	Ovarian cancer	Cystadenocarcinoma, endometrioid	CVCL_0532	Female, 64	metastasis	ascites
SK-PN-DW	Bone cancer	Ewings Sarcoma	CVCL_1703	Male, 17		embryonal
SK-RC-20	Kidney cancer	Renal Cell Carcinoma	CVCL_V605	Male, 46		kidney
SK-UT-1	Sarcoma	Leiomyosarcoma	CVCL_0533	Female, 75	primary	endometrium
SKM-1	Leukemia	Acute Myelogenous Leukemia (AML)	CVCL_0098	Male, 76	primary	haematopoietic and lymphoid tissue
SKNO-1	Leukemia	Acute Myelogenous Leukemia (AML)	CVCL_2196	Male, 22	metastasis	bone marrow
SLR20	Bladder cancer	Carcinoma	CVCL_V606	Female, 81	primary	urinary tract
SLR21	Kidney cancer	Renal Cell Carcinoma	CVCL_V607	Female	metastasis	kidney
SLR23	Kidney cancer	Renal Cell Carcinoma	CVCL_V609	Female	metastasis	kidney
SLR24	Kidney cancer	Renal Carcinoma, clear cell	CVCL_V610	Female	primary	kidney
SLR25	Kidney cancer	Renal Cell Carcinoma	CVCL_V611	Female	metastasis	kidney
SLR26	Kidney cancer	Renal Cell Carcinoma	CVCL_V612	Male	primary	kidney
SNB-75	Brain cancer	Glioma	CVCL_1706	Female, 75	primary	central nervous system
SNG-M	Uterine cancer	Endometrial Adenocarcinoma	CVCL_1707	Female, 52	metastasis	lymph node
SNU-1	Gastric cancer	Adenocarcinoma	CVCL_0099	Male, 44	metastasis	stomach
SNU-1033	Colorectal cancer	Adenocarcinoma	CVCL_5002	Female, 45	primary	large intestine
SNU-1040	Colorectal cancer	Adenocarcinoma	CVCL_5003	Male, 34		colon
SNU-1041	Head and Neck cancer	Squamous Cell Carcinoma, hypopharyngeal	CVCL_L085	Male, 58		upper aerodigestive tract
SNU-1066	Head and Neck cancer	Squamous Cell Carcinoma	CVCL_5005	Male, 62		upper aerodigestive tract
SNU-1076	Head and Neck cancer	Squamous Cell Carcinoma, laryngeal	CVCL_5006	Male, 60		upper aerodigestive tract
SNU-1077	Uterine cancer	Mullerian Carcinoma	CVCL_5007	Female, 60	primary	endometrium
SNU-1079	Bile duct cancer	Cholangiocarcinoma, intrahepatic	CVCL_5008	Male		biliary tract
SNU-1105	Brain cancer	Glioblastoma	CVCL_5010	Male, 61	primary	central nervous system
SNU-119	Ovarian cancer	Cystadenocarcinoma, high grade serous	CVCL_5014	Female, 50	metastasis	ascites
SNU-1196	Bile duct cancer	Cholangiocarcinoma, extrahepatic	CVCL_5015	Female		biliary tract
SNU-1197	Colorectal cancer	Adenocarcinoma	CVCL_5016	Male, 70	primary	colon
SNU-1214	Head and Neck cancer	Squamous Cell Carcinoma, laryngeal	CVCL_5017	Male, 55		upper aerodigestive tract
SNU-1272	Kidney cancer	Renal Carcinoma, clear cell	CVCL_8788	Female, 63		kidney
SNU-16	Gastric cancer	Adenocarcinoma	CVCL_0076	Female, 33	metastasis	ascites
SNU-175	Colorectal cancer	Adenocarcinoma, mucinous	CVCL_5031	Female, 56	metastasis	abdomen
SNU-182	Liver cancer	Hepatocellular Carcinoma	CVCL_0090	Male, 24	primary	liver
SNU-201	Brain cancer	Glioblastoma	CVCL_5033	Male, 58	primary	central nervous system
SNU-213	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	CVCL_5034	Male, 65		pancreas
SNU-216	Gastric cancer	Adenocarcinoma, tubular	CVCL_3946	Female, 46	metastasis	lymph node
SNU-245	Bile duct cancer	Cholangiocarcinoma, extrahepatic	CVCL_5038	Female		biliary tract
SNU-283	Colorectal cancer	Adenocarcinoma	CVCL_5044	Female, 62	metastasis	abdomen
SNU-308	Gallbladder cancer	Adenocarcinoma	CVCL_5048	Female		biliary tract
SNU-324	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	CVCL_5051	Male, 50		pancreas
SNU-349	Kidney cancer	Renal Carcinoma, clear cell	CVCL_5054	Male, 68	primary	kidney
SNU-387	Liver cancer	Hepatocellular Carcinoma	CVCL_0250	Female, 41	primary	liver
SNU-398	Liver cancer	Hepatocellular Carcinoma	CVCL_0077	Male, 42	primary	liver
SNU-407	Colorectal cancer	Adenocarcinoma	CVCL_5058	Male, 37	metastasis	soft tissue
SNU-410	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	CVCL_5059	Male, 53	metastasis	liver
SNU-423	Liver cancer	Hepatocellular Carcinoma	CVCL_0366	Male, 40	primary	liver
SNU-449	Liver cancer	Hepatocellular Carcinoma	CVCL_0454	Male, 52	primary	liver
SNU-46	Head and Neck cancer	Squamous Cell Carcinoma, laryngeal	CVCL_5063	Male, 65		upper aerodigestive tract
SNU-466	Brain cancer	Glioblastoma	CVCL_5064	Male, 61		central nervous system
SNU-475	Liver cancer	Hepatocellular Carcinoma	CVCL_0497	Male, 43	primary	liver
SNU-478	Bile duct cancer	Cholangiocarcinoma, extrahepatic	CVCL_5065	Female		biliary tract
SNU-484	Gastric cancer	Adenocarcinoma	CVCL_0100		Primary	stomach
SNU-489	Brain cancer	Glioblastoma	CVCL_5069	Male, 54		central nervous system
SNU-5	Gastric cancer	Adenocarcinoma	CVCL_0078	Female, 33	metastasis	ascites
SNU-503	Colorectal cancer	Adenocarcinoma	CVCL_5071	Male, 52	metastasis	abdomen
SNU-520	Gastric cancer	Adenocarcinoma	CVCL_5072	Female, 60	primary	stomach
SNU-601	Gastric cancer	Adenocarcinoma, signet ring cell	CVCL_0101	Male, 34	metastasis	ascites
SNU-61	Colorectal cancer	Adenocarcinoma	CVCL_5078	Male, 48	metastasis	liver
SNU-620	Gastric cancer	Adenocarcinoma	CVCL_5079	Female, 59	metastasis	ascites
SNU-626	Brain cancer	Glioblastoma	CVCL_5080	Male, 65		central nervous system
SNU-638	Gastric cancer	Adenocarcinoma	CVCL_0102	48	Metastasis	ascites
SNU-668	Gastric cancer	Adenocarcinoma	CVCL_5081	Male, 63	metastasis	ascites
SNU-685	Uterine cancer	Malignant Mixed Mullerian Tumor (MMMT)	CVCL_5083	Female, 70	primary	endometrium
SNU-719	Gastric cancer	Adenocarcinoma, tubular	CVCL_5086	Male, 53	primary	stomach
SNU-738	Brain cancer	Oligodendroglioma	CVCL_5087	Male, 40		central nervous system
SNU-761	Liver cancer	Hepatocellular Carcinoma	CVCL_5089	Male, 49		liver
SNU-8	Ovarian cancer	Adenocarcinoma, high grade serous	CVCL_5096	Female, 55	metastasis	ascites
SNU-81	Colorectal cancer	Adenocarcinoma	CVCL_5098	Male, 53		colon
SNU-840	Ovarian cancer	Carcinoma, brenner	CVCL_5100	Female, 45	primary	ovary
SNU-869	Bile duct cancer	Cholangiocarcinoma, extrahepatic	CVCL_5101	Female		biliary tract
SNU-878	Liver cancer	Hepatocellular Carcinoma	CVCL_5102	Female, 54	primary	liver
SNU-886	Liver cancer	Hepatocellular Carcinoma	CVCL_5103	Male, 57		liver
SNU-899	Head and Neck cancer	Squamous Cell Carcinoma, laryngeal	CVCL_5105	Male, 56	primary	upper aerodigestive tract
SNU-C1	Colorectal cancer	Adenocarcinoma	CVCL_1708	Male, 71	metastasis	abdomen
SNU-C2A	Colorectal cancer	Adenocarcinoma	CVCL_1709	Female, 43	primary	large intestine
SNU-C4	Colorectal cancer	Adenocarcinoma	CVCL_5111	Male, 35		large intestine
SNU-C5	Colorectal cancer	Adenocarcinoma	CVCL_5112	Female, 77		colon
Sq-1	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	CVCL_4900	Male	primary	lung
SR	Lymphoma	T-cell, Non-Hodgkins, Anaplastic Large Cell (ALCL)	CVCL_1711	Male, 11	primary	pleural effusion
ST486	Lymphoma	B-cell, Non-Hodgkins, Burkitts	CVCL_1712	Female		ascites
STM91-01	Rhabdoid	Malignant Rhabdoid Tumor	CVCL_8000	Male, 0	metastasis	lung
SU-DHL-1	Lymphoma	T-cell, Non-Hodgkins, Anaplastic Large Cell (ALCL)	CVCL_0538	Male, 10		pleural effusion
SU-DHL-10	Lymphoma	Diffuse Large B-cell Lymphoma (DLBCL)	CVCL_1889	Male, 25	metastasis	pleural effusion
SU-DHL-16	Lymphoma	B-cell, Non-Hodgkins	CVCL_1890			pleural_effusion
SU-DHL-4	Lymphoma	Diffuse Large B-cell Lymphoma (DLBCL)	CVCL_0539	Male, 38	metastasis	pleural effusion
SU-DHL-5	Lymphoma	Diffuse Large B-cell Lymphoma (DLBCL)	CVCL_1735	Female, 17	primary	lymph node
SU-DHL-6	Lymphoma	Diffuse Large B-cell Lymphoma (DLBCL)	CVCL_2206	Male, 43	metastasis	ascites
SU-DHL-8	Lymphoma	Diffuse Large B-cell Lymphoma (DLBCL)	CVCL_2207	Male, 59	metastasis	pleural effusion
SU.86.86	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	CVCL_3881	Female, 57	metastasis	liver
SUIT-2	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	CVCL_3172	Male, 73	metastasis	liver
SUM1315MO2	Breast cancer	Breast Ductal Carcinoma	CVCL_5589		Metastasis	skin
SUM149PT	Breast cancer	Breast Ductal Carcinoma	CVCL_3422	40	Primary	breast
SUM159PT	Breast cancer	Carcinoma	CVCL_5423	71	Primary	breast
SUM52PE	Breast cancer	Carcinoma	CVCL_3425		Metastasis	pleural_effusion
SUP-B15	Leukemia	Acute Lymphoblastic Leukemia (ALL), B-cell	CVCL_0103	Male, 9	primary	bone marrow
SUP-M2	Lymphoma	T-cell, Non-Hodgkins, Anaplastic Large Cell (ALCL)	CVCL_2209	Female, 5		central nervous system
SUP-T1	Leukemia	Acute Lymphoblastic Leukemia (ALL), T-cell	CVCL_1714	Male, 8	metastasis	pleural effusion
SUP-T11	Leukemia	Acute Lymphoblastic Leukemia (ALL), T-cell	CVCL_2210	Male, 74		bone marrow
SuSa	Testis cancer		CVCL_L280	Male, 30	primary	embryonal
SW1088	Brain cancer	Astrocytoma	CVCL_1715	Male, 72	primary	central nervous system
SW1116	Colorectal cancer	Adenocarcinoma	CVCL_0544	Male, 73	primary	colon
SW1271	Lung cancer	Small Cell Lung Cancer (SCLC)	CVCL_1716	Male, 69	primary	lung
SW1353	Bone cancer	Chondrosarcoma	CVCL_0543	Female, 72	primary	bone
SW1417	Colorectal cancer	Adenocarcinoma	CVCL_1717	Female, 53	primary	colon
SW1463	Colorectal cancer	Adenocarcinoma	CVCL_1718	Female, 66	primary	large intestine
SW1573	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1720	Female, 44	primary	lung
SW1710	Bladder cancer	Transitional Cell Carcinoma	CVCL_1721	Female, 84	primary	urinary tract
SW1783	Brain cancer	Astrocytoma	CVCL_1722	Male, 68	primary	central nervous system
SW1990	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	CVCL_1723	Male, 56	primary	spleen
SW403	Colorectal cancer	Adenocarcinoma	CVCL_0545	Female, 51	primary	colon
SW48	Colorectal cancer	Adenocarcinoma	CVCL_1724	Female, 83	primary	colon
SW480	Colorectal cancer	Adenocarcinoma	CVCL_0546	Male, 51	primary	lymph node
